Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
patient_001,1979-07-11,,999-79-2424,S89254563,,Sr.,Xosé,Ortiz Morales,,,W,white,nonhispanic,M,"Pontevedra, Galicia, España","Rúa Nova, 174",Pontevedra,Pontevedra,Galicia,36002,42.057209,-9.056392,4257.25,0.92
patient_002,1979-02-03,,999-30-7924,S55667651,,Sr.,Gonzalo,Ferrer Vidal,,,D,white,nonhispanic,M,"Lugo, Galicia, España","Rúa de Montero Ríos, 2",Lugo,Lugo,Galicia,27001,42.279863,-6.811246,5712.32,0.82
patient_003,2002-01-22,,999-20-5803,S94374605,,Sr.,Luis,Santos Delgado,,,D,white,nonhispanic,M,"Lugo, Galicia, España","Rúa Nova, 97",Lugo,Lugo,Galicia,27001,43.039234,-7.468113,1641.54,0.85
patient_004,1959-05-06,,999-57-6820,S38119557,,Sra.,Josefa,Suárez Hernández,,Hernández,D,white,nonhispanic,F,"Ourense, Galicia, España","Rúa de Castelao, 42",Ourense,Ourense,Galicia,32003,43.263277,-7.522776,1999.64,0.93
patient_005,1972-10-29,,999-97-6313,S17507864,,Sr.,Ramón,Vargas Prieto,,,S,white,nonhispanic,M,"Pontevedra, Galicia, España","Rúa de Pío XII, 57",Pontevedra,Pontevedra,Galicia,36002,43.479245,-7.206881,6616.31,0.81
patient_006,1949-07-16,,999-81-9830,S45264581,,Sra.,Dolores,Herrero Cruz,,Cruz,W,white,nonhispanic,F,"A Coruña, Galicia, España","Rúa do Vilar, 64",A Coruña,A Coruña,Galicia,15001,43.616081,-8.261559,4070.49,1.0
patient_007,1987-11-01,,999-18-7304,S61220073,,Sra.,Josefa,Sánchez Moreno,,Moreno,W,white,nonhispanic,F,"Vigo, Galicia, España","Rúa de Rosalía de Castro, 153",Vigo,Pontevedra,Galicia,36200,42.952406,-6.775196,13050.92,0.8
patient_008,1964-07-28,,999-68-1053,S45351479,,Sr.,Martín,Ibáñez Castro,,,S,white,nonhispanic,M,"A Coruña, Galicia, España","Rúa de Rosalía de Castro, 41",A Coruña,A Coruña,Galicia,15001,42.913827,-9.023332,9754.2,0.97
patient_009,1940-09-29,,999-12-2832,S58718453,,Sr.,José,Cano Navarro,,,D,white,nonhispanic,M,"Lugo, Galicia, España","Rúa de Castelao, 126",Lugo,Lugo,Galicia,27001,42.431014,-8.673734,8943.0,0.82
patient_010,1991-07-14,,999-31-5342,S80823176,,Sra.,Noa,Gómez Ibáñez,,Ibáñez,W,white,nonhispanic,F,"Pontevedra, Galicia, España","Rúa de Curros Enríquez, 141",Pontevedra,Pontevedra,Galicia,36002,43.735853,-6.884825,11573.71,0.94
patient_011,1941-02-10,,999-18-6539,S12823170,,Sra.,Mercedes,Cano Peña,,Peña,S,white,nonhispanic,F,"Santiago de Compostela, Galicia, España","Rúa de San Pedro, 58",Santiago de Compostela,A Coruña,Galicia,15700,43.059192,-9.281304,10909.77,0.81
patient_012,1942-05-31,,999-79-3167,S86644106,,Sr.,Manuel,Cortés Martín,,,W,white,nonhispanic,M,"A Coruña, Galicia, España","Rúa de Curros Enríquez, 55",A Coruña,A Coruña,Galicia,15001,42.437395,-8.07027,6698.84,0.82
